Book_ID,Title,Author,ISBN,Edition,Publication_Year,Category_Name,Publisher_Name,Availability
1,Scott Norman: A Memoir,Kathy Jones,978-0-342-80138-1,3,2003,Biography,Bloomsbury,Borrowed
2,The Last River,Michael Rodriguez,978-1-63836-151-0,5,2006,Fiction,McGraw-Hill,Borrowed
3,The Rise of Mountain,Dwayne Bowen,978-1-71647-947-2,1,1991,History,Springer,Reserved
4,In the Words of Jason Mercer,Scott Jacobson,978-1-207-16781-9,1,2004,Biography,Chronicle Books,Borrowed
5,The Last Fire,Natalie Stafford,978-0-535-39613-7,3,1994,Fiction,Macmillan Publishers,Borrowed
6,A Story of Light,Lauren Nelson,978-1-79678-427-5,3,2002,Fiction,Pearson Education,Borrowed
7,Master Your River,Brandy Garcia,978-0-7026-9524-7,2,2017,Self-Help,Hachette Book Group,Available
8,A Story of Path,Patricia Sparks,978-1-77848-588-6,5,2012,Fiction,HarperCollins,Available
9,Little Shadow,Barbara Cole,978-1-70028-427-3,4,1980,Children,Wiley,Borrowed
10,Dream Every Day,Laura Henry,978-1-82806-479-5,3,2019,Self-Help,Oxford University Press,Borrowed
11,Light Explained,Erica Johnson,978-0-559-05616-1,4,2000,Science,Cambridge University Press,Borrowed
12,The Philosophy of Dream,Danielle Wong,978-0-415-20850-5,2,2019,Philosophy,McGraw-Hill,Available
13,On Light,Deborah Dominguez,978-1-69659-171-3,4,2017,Philosophy,McGraw-Hill,Available
14,In the Words of Christine Crawford,Mary Jackson,978-1-63718-344-1,2,2022,Biography,HarperCollins,Available
15,Thinking About Storm,Patrick Davis,978-1-4198-7635-6,3,1994,Philosophy,MIT Press,Available
16,Mastering Fire,Jessica Fernandez,978-1-64987-820-5,1,2009,Technology,Cambridge University Press,Available
17,The Art of Dream,Mr. Rodney Hurley III,978-0-8357-2324-4,2,2021,Business,Springer,Available
18,Broken Storm,Madison Singleton,978-1-249-36312-5,5,2009,Fiction,Penguin Random House,Borrowed
19,The Power of Mountain,Justin Graham,978-0-242-04482-6,5,2015,Self-Help,McGraw-Hill,Available
20,In the Words of Amanda Sharp,Amy Mosley,978-1-165-16231-4,5,2008,Biography,Bloomsbury,Reserved
21,Light: A Chronicle,Lauren Hampton,978-1-139-15596-0,3,2013,History,Scholastic,Borrowed
22,Mastering Storm,Brian Lewis,978-1-64907-851-3,3,2000,Technology,Bloomsbury,Available
23,Dream Every Day,Sherry Giles,978-1-5409-0034-0,2,1993,Self-Help,HarperCollins,Available
24,My First Shadow,Robert Martinez,978-1-60644-134-3,4,2004,Children,Bloomsbury,Available
25,The Dream Strategy,Sherry Wang,978-0-417-76561-7,1,2002,Business,Hachette Book Group,Reserved
26,My First Ocean,Lance Li,978-1-00-272063-9,2,2011,Children,Macmillan Publishers,Borrowed
27,On Path,Jose Booker,978-1-57724-295-6,4,1990,Philosophy,Chronicle Books,Available
28,The Broken Secret,Shawn Duffy,978-0-08-931734-3,1,1985,Mystery,Pearson Education,Reserved
29,My First Shadow,David Davis,978-0-910867-71-9,4,2000,Children,Macmillan Publishers,Available
30,Missing Dream,Deborah Francis,978-0-639-34362-4,1,2010,Mystery,Penguin Random House,Available
31,Master Your River,Luke Solomon,978-1-107-25636-1,1,1981,Self-Help,Macmillan Publishers,Available
32,Mountain in Practice,Anthony Cook,978-1-59900-489-1,1,2016,Technology,Macmillan Publishers,Borrowed
33,The Case of the Silent Star,Steven Williams,978-1-287-57215-2,1,1990,Mystery,Hachette Book Group,Borrowed
34,Dream Explained,William Porter,978-1-64494-856-9,2,1984,Science,McGraw-Hill,Available
35,The River Handbook,Brittany Farrell,978-0-320-32074-3,1,2002,Technology,Wiley,Available
36,The Adventures of Path,Kathleen Alexander,978-1-71215-134-1,4,2011,Children,HarperCollins,Borrowed
37,My First Dream,Steven Willis,978-0-613-71504-1,5,2021,Children,Hachette Book Group,Reserved
38,The Art of Dream,Tiffany Hood,978-0-17-774905-6,5,1997,Business,Oxford University Press,Borrowed
39,Mastering Fire,Nicholas Navarro,978-0-04-501896-3,4,2016,Technology,McGraw-Hill,Borrowed
40,My First Mountain,Jennifer Smith,978-0-664-21476-0,2,2002,Children,MIT Press,Available
41,Thinking About Shadow,Heather Davis,978-0-7767-4996-9,2,1985,Philosophy,Macmillan Publishers,Available
42,Little Fire,Mark Davis,978-1-327-88147-3,1,1985,Children,Hachette Book Group,Available
43,Star in Practice,Carl Leach,978-1-4908-1081-2,4,2015,Technology,Wiley,Available
44,Finding Jennifer Marshall,Robin Kelly,978-0-17-226016-7,3,1996,Biography,Macmillan Publishers,Available
45,Ocean Explained,Michael Hanson,978-1-232-19416-3,2,1992,Science,Macmillan Publishers,Borrowed
46,The Case of the Lost Storm,John Holt,978-1-995641-22-5,2,2003,Mystery,Simon & Schuster,Available
47,The Philosophy of Shadow,Shannon Clark,978-0-683-14727-8,5,1998,Philosophy,Springer,Available
48,Shadow: A Chronicle,Jill Washington,978-1-933496-05-4,3,2010,History,Scholastic,Borrowed
49,The Golden Secret,Sarah Mclaughlin,978-0-7678-9973-4,1,2005,Mystery,Scholastic,Available
50,The Science of Mountain,Arthur Orozco,978-1-179-57602-2,3,1985,Science,Macmillan Publishers,Available
51,Principles of Star,Daniel Stout,978-1-246-65729-6,2,2013,Science,Cambridge University Press,Available
52,The Case of the Forgotten Dream,Mr. Christopher Vasquez,978-1-4338-0054-2,5,2019,Mystery,Penguin Random House,Reserved
53,The Storm Strategy,Amanda Brown,978-0-931837-45-6,1,1990,Business,Macmillan Publishers,Reserved
54,The Rise of Dream,Stephanie Castaneda,978-0-7711-9918-9,5,2010,History,Hachette Book Group,Available
55,When River Falls,Susan Moore,978-1-871255-21-8,2,1996,Fiction,MIT Press,Available
56,Leading with River,Danielle Lamb,978-1-82145-653-5,2,2021,Business,Simon & Schuster,Borrowed
57,On Mountain,Robert Gutierrez,978-1-85072-081-2,5,2016,Philosophy,Bloomsbury,Borrowed
58,Dream and Meaning,Antonio Malone,978-0-8466-8455-8,5,2014,Philosophy,Scholastic,Available
59,The Broken Secret,Melody Griffin,978-1-56341-085-7,3,1981,Mystery,HarperCollins,Available
60,Mastering Star,Kimberly Lewis,978-1-200-89434-7,2,2010,Technology,Wiley,Reserved
61,Murder at Clearwater,Jake Sims,978-0-01-749075-9,4,1985,Mystery,Scholastic,Reserved
62,Finding Dr. Virginia Cunningham,Lori Ferguson,978-1-4492-6831-2,4,2024,Biography,Scholastic,Available
63,Shadow and Meaning,Brent Dawson,978-0-10-627371-3,1,2000,Philosophy,Hachette Book Group,Borrowed
64,In the Words of Joseph Chapman,Jennifer Baker,978-1-77622-827-0,5,2009,Biography,Cambridge University Press,Available
65,When Fire Falls,Bailey Lewis,978-0-285-19611-7,4,1983,Fiction,Macmillan Publishers,Available
66,Thinking About Fire,Eric Brooks,978-1-02-296044-2,1,2020,Philosophy,McGraw-Hill,Available
67,The Shadow Handbook,Gregory Harrell,978-1-949756-79-1,4,1985,Technology,Macmillan Publishers,Borrowed
68,The Science of Fire,Mary Hernandez,978-0-9966365-8-2,3,2012,Science,Springer,Available
69,Storm and Meaning,Brandon Martin,978-1-81813-989-2,5,1989,Philosophy,Cambridge University Press,Available
70,Light in Practice,Kathryn Smith,978-0-433-97189-4,3,2012,Technology,Hachette Book Group,Reserved
71,When Star Falls,Gina White,978-1-64111-824-8,4,1989,Fiction,Scholastic,Available
72,Master Your Ocean,Jason Jackson,978-0-00-461526-4,4,2000,Self-Help,Chronicle Books,Available
73,Dream in Practice,Amber Allen,978-1-886140-57-8,4,1982,Technology,Oxford University Press,Lost
74,Missing Mountain,Susan Smith,978-0-8249-6718-5,1,1988,Mystery,Wiley,Borrowed
75,The River Strategy,Dr. Kimberly Henderson,978-0-07-942007-7,4,1980,Business,Springer,Available
76,The Rise of Fire,Dr. Christy Pittman MD,978-0-416-12846-8,3,2019,History,Springer,Available
77,Dream Goes to School,Theresa Reid,978-1-355-37950-8,4,2014,Children,Penguin Random House,Borrowed
78,River in Business,April Smith,978-1-876811-80-8,1,2020,Business,Springer,Available
79,Shadow Explained,William Bennett,978-1-201-75370-4,1,1998,Science,Oxford University Press,Available
80,Alejandro Campbell: A Memoir,Heather Davis,978-0-375-04793-0,2,1990,Biography,Simon & Schuster,Available
81,Principles of Storm,Donald Mason,978-0-9992192-1-8,5,1989,Science,Macmillan Publishers,Borrowed
82,Missing Shadow,Monica Hill,978-1-870605-66-3,3,2023,Mystery,Wiley,Borrowed
83,Lost Light,Peter Stephenson,978-0-468-75063-1,4,2024,History,Hachette Book Group,Available
84,Murder at Millbrook,Courtney Norris DVM,978-0-254-11076-2,2,2004,Mystery,McGraw-Hill,Borrowed
