Month,Total_Borrows,Returned,Overdue,Fines_Generated
2022-01,41,30,11,8706.0
2022-02,33,27,6,4641.5
2022-03,37,28,9,6864.5
2022-04,30,22,8,5983.5
2022-05,38,31,7,5131.5
2022-06,40,32,8,5721.5
2022-07,37,31,6,4246.5
2022-08,45,35,10,6838.0
2022-09,43,33,10,6704.0
2022-10,42,31,11,7165.0
2022-11,35,23,12,7595.5
2022-12,48,40,8,5037.0
2023-01,45,31,14,8489.5
2023-02,36,29,7,4160.0
2023-03,28,21,7,4032.5
2023-04,29,21,8,4491.0
2023-05,38,30,8,4406.0
2023-06,39,30,9,4808.0
2023-07,39,28,11,5693.0
2023-08,39,35,4,2104.5
2023-09,43,37,6,2991.5
2023-10,39,26,13,6120.0
2023-11,35,28,7,3258.0
2023-12,50,40,10,4453.5
2024-01,39,32,7,3038.5
2024-02,40,35,5,2086.5
2024-03,40,31,9,3557.0
2024-04,24,22,2,798.5
2024-05,42,34,8,2994.0
2024-06,38,30,8,2855.0
2024-07,40,31,9,2984.0
2024-08,41,33,8,2563.0
2024-09,41,37,4,1308.0
2024-10,46,39,7,2060.0
2024-11,32,28,4,1100.0
2024-12,42,36,6,1633.0
2025-01,29,21,8,1911.0
2025-02,31,25,6,1377.5
2025-03,33,31,2,511.5
2025-04,34,30,4,855.5
2025-05,52,41,11,2009.5
2025-06,27,23,4,709.5
2025-07,41,31,10,1502.0
2025-08,46,34,12,1628.0
2025-09,42,33,9,1100.0
2025-10,31,25,6,670.5
2025-11,47,37,10,967.5
2025-12,40,35,5,482.5
2026-01,41,33,8,517.0
2026-02,42,36,6,305.0
2026-03,35,24,11,319.5
2026-04,35,33,2,57.5
